state,percentile,income
Perak,75,7170
Perak,76,7376
Perak,77,7542
Perak,78,7712
Perak,79,7860
Perak,80,8046
Perak,81,8447
Perak,82,8718
Perak,83,9000
Perak,84,9177
Perak,85,9448
Perak,86,9738
Perak,87,10025
Perak,88,10406
Perak,89,10719
Perak,90,11131
Perak,91,11848
Perak,92,12370
Perak,93,12819
Perak,94,13718
Perak,95,14743
Perlis,1,1254
Perlis,2,1336
Perlis,3,1601
Perlis,4,1658
Perlis,5,1833
Perlis,6,1997
Perlis,7,2082
Perlis,8,2148
Perlis,9,2271
Perlis,10,2348
Perlis,11,2446
Perlis,12,2513
Perlis,13,2606
Perlis,14,2676
Perlis,15,2745
Perlis,16,2784
Perlis,17,2847
Perlis,18,2920
Perlis,19,2971
Perlis,20,3005
Perlis,21,3065
Perlis,22,3109
Perlis,23,3159
Perlis,24,3189
Perlis,25,3263
Perlis,26,3329
Perlis,27,3410
Perlis,28,3477
Perlis,29,3542
Perlis,30,3593
Perlis,31,3639
Perlis,32,3694
Perlis,33,3736
Perlis,34,3793
Perlis,35,3891
Perlis,36,3945
Perlis,37,4035
Perlis,38,4131
Perlis,39,4194
Perlis,40,4247
Perlis,41,4316
Perlis,42,4374
Perlis,43,4414
Perlis,44,4496
Perlis,45,4585
Perlis,46,4675
Perlis,47,4751
Perlis,48,4806
Perlis,49,4889
Perlis,50,4923
Perlis,51,4984
Perlis,52,5093
Perlis,53,5158
Perlis,54,5199
Perlis,55,5289
Perlis,56,5335
Perlis,57,5363
Perlis,58,5440
Perlis,59,5575
Perlis,60,5649
Perlis,61,5731
Perlis,62,5823
Perlis,63,5863
Perlis,64,5890
Perlis,65,5995
Perlis,66,6134
Perlis,67,6343
Perlis,68,6443
Perlis,69,6516
Perlis,70,6646
Perlis,71,6784
Perlis,72,6894
Perlis,73,6964
Perlis,74,7041
Perlis,75,7214
Perlis,76,7322
Perlis,77,7460
Perlis,78,7665
Perlis,79,7847
Perlis,80,7980
Perlis,81,8030
Perlis,82,8273
Perlis,83,8585
Perlis,84,8823
Perlis,85,9073
Perlis,86,9161
Perlis,87,9355
Perlis,88,9731
Perlis,89,9947
Perlis,90,10274
Perlis,91,10828
Perlis,92,11438
Perlis,93,12100
Perlis,94,12565
Perlis,95,13802
Pulau Pinang,1,1477
Pulau Pinang,2,1810
Pulau Pinang,3,1986
Pulau Pinang,4,2192
Pulau Pinang,5,2353
Pulau Pinang,6,2527
Pulau Pinang,7,2664
Pulau Pinang,8,2846
Pulau Pinang,9,3012
Pulau Pinang,10,3123
Pulau Pinang,11,3245
Pulau Pinang,12,3370
Pulau Pinang,13,3470
Pulau Pinang,14,3568
Pulau Pinang,15,3657
Pulau Pinang,16,3760
Pulau Pinang,17,3864
Pulau Pinang,18,3980
Pulau Pinang,19,4074
Pulau Pinang,20,4182
Pulau Pinang,21,4283
Pulau Pinang,22,4364
Pulau Pinang,23,4463
Pulau Pinang,24,4547
Pulau Pinang,25,4673
Pulau Pinang,26,4768
Pulau Pinang,27,4874
Pulau Pinang,28,4948
Pulau Pinang,29,5062
Pulau Pinang,30,5155
Pulau Pinang,31,5266
Pulau Pinang,32,5390
Pulau Pinang,33,5479
Pulau Pinang,34,5579
Pulau Pinang,35,5709
Pulau Pinang,36,5840
Pulau Pinang,37,5942
Pulau Pinang,38,6087
Pulau Pinang,39,6193
Pulau Pinang,40,6294
Pulau Pinang,41,6420
Pulau Pinang,42,6519
Pulau Pinang,43,6623
Pulau Pinang,44,6717
Pulau Pinang,45,6802
Pulau Pinang,46,6909
Pulau Pinang,47,6989
Pulau Pinang,48,7077
Pulau Pinang,49,7214
Pulau Pinang,50,7327
Pulau Pinang,51,7448
Pulau Pinang,52,7581
Pulau Pinang,53,7697
Pulau Pinang,54,7808
Pulau Pinang,55,7942
Pulau Pinang,56,8065
Pulau Pinang,57,8199
Pulau Pinang,58,8342
Pulau Pinang,59,8467
Pulau Pinang,60,8591
Pulau Pinang,61,8731
Pulau Pinang,62,8893
Pulau Pinang,63,9029
Pulau Pinang,64,9208
Pulau Pinang,65,9329
Pulau Pinang,66,9528
Pulau Pinang,67,9670
Pulau Pinang,68,9817
Pulau Pinang,69,9998
Pulau Pinang,70,10214
Pulau Pinang,71,10402
Pulau Pinang,72,10584
Pulau Pinang,73,10752
Pulau Pinang,74,10916
Pulau Pinang,75,11142
Pulau Pinang,76,11335
Pulau Pinang,77,11546
Pulau Pinang,78,11872
Pulau Pinang,79,12289
Pulau Pinang,80,12584
Pulau Pinang,81,12758
Pulau Pinang,82,13047
Pulau Pinang,83,13240
Pulau Pinang,84,13588
Pulau Pinang,85,13898
Pulau Pinang,86,14141
Pulau Pinang,87,14582
Pulau Pinang,88,14972
Pulau Pinang,89,15535
Pulau Pinang,90,16186
Pulau Pinang,91,16789
Pulau Pinang,92,17577
Pulau Pinang,93,18181
Pulau Pinang,94,18965
Pulau Pinang,95,19855
Sabah,1,1082
Sabah,2,1334
Sabah,3,1479
Sabah,4,1592
Sabah,5,1700
Sabah,6,1831
Sabah,7,1907
Sabah,8,2009
Sabah,9,2087
Sabah,10,2145
Sabah,11,2220
Sabah,12,2288
Sabah,13,2358
Sabah,14,2414
Sabah,15,2484
Sabah,16,2534
Sabah,17,2586
Sabah,18,2647
Sabah,19,2706
Sabah,20,2757
Sabah,21,2817
Sabah,22,2868
Sabah,23,2928
Sabah,24,2982
Sabah,25,3056
Sabah,26,3121
Sabah,27,3175
Sabah,28,3245
Sabah,29,3334
Sabah,30,3384
Sabah,31,3455
Sabah,32,3509
Sabah,33,3600
Sabah,34,3686
Sabah,35,3749
Sabah,36,3815
Sabah,37,3883
Sabah,38,3948
Sabah,39,4017
Sabah,40,4093
Sabah,41,4161
Sabah,42,4215
Sabah,43,4297
Sabah,44,4363
Sabah,45,4445
Sabah,46,4510
Sabah,47,4594
Sabah,48,4684
Sabah,49,4765
Sabah,50,4852
Sabah,51,4928
Sabah,52,4996
Sabah,53,5069
Sabah,54,5151
Sabah,55,5224
Sabah,56,5303
Sabah,57,5383
Sabah,58,5475
Sabah,59,5559
Sabah,60,5650
Sabah,61,5738
Sabah,62,5832
Sabah,63,5940
Sabah,64,6118
Sabah,65,6331
Sabah,66,6438
Sabah,67,6569
Sabah,68,6677
Sabah,69,6796
Sabah,70,6892
Sabah,71,7005
Sabah,72,7169
Sabah,73,7429
Sabah,74,7608
Sabah,75,7833
Sabah,76,7977
Sabah,77,8325
Sabah,78,8584
Sabah,79,8808
Sabah,80,9021
Sabah,81,9267
Sabah,82,9534
Sabah,83,9837
Sabah,84,10138
Sabah,85,10466
Sabah,86,10853
Sabah,87,11188
Sabah,88,11627
Sabah,89,12099
Sabah,90,12526
Sabah,91,12992
Sabah,92,13558
Sabah,93,14361
Sabah,94,14962
Sabah,95,15799
Sarawak,1,1318
Sarawak,2,1625
Sarawak,3,1762
Sarawak,4,1851
Sarawak,5,1956
Sarawak,6,2057
Sarawak,7,2152
Sarawak,8,2235
Sarawak,9,2314
Sarawak,10,2388
Sarawak,11,2469
Sarawak,12,2543
Sarawak,13,2611
Sarawak,14,2679
Sarawak,15,2765
Sarawak,16,2840
Sarawak,17,2924
Sarawak,18,3001
